Province,District,Commune Eng,Village ENG,District KH,Commune KH,Village,Code_District,Code Commune,Code Village,Province KH,Province Cod,Vil Lat,Vil Long,Dist Lat,Dist Long
Banteay Meanchey,Mongkol Borei,Chamnaom,Roung Kou Kandal,?????????,?????,???????????,102,10203,1020307,?????????????????,1,13.4238487,102.9614426,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Roung Kou Chong,?????????,?????,????????,102,10203,1020308,?????????????????,1,13.43445193,102.9318085,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Peam Roung Kou,?????????,?????,????????,102,10203,1020309,?????????????????,1,13.43174096,102.9318318,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Ta Sal,?????????,?????,?????,102,10203,1020310,?????????????????,1,13.42444223,102.9344424,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Chuor Khchas,?????????,?????,?????????,102,10203,1020311,?????????????????,1,13.41668261,102.9315453,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Boeng Tras,?????????,?????,????????,102,10203,1020312,?????????????????,1,13.41292232,102.9513797,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Dang Trang,?????????,?????,???????,102,10203,1020313,?????????????????,1,13.41032337,102.9652494,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Srae Prey,?????????,?????,????????,102,10203,1020314,?????????????????,1,13.41766415,102.9790359,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Bos Tonloab,?????????,?????,????????????,102,10203,1020315,?????????????????,1,13.43565614,102.9687292,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Ta  Bun,?????????,?????,??????,102,10203,1020316,?????????????????,1,13.42381132,102.9568268,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Kouk Ponley,?????????,?????,????????,102,10203,1020317,?????????????????,1,13.4410931,102.97053,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Chamnaom,Say Samon,?????????,?????,????????,102,10203,1020318,?????????????????,1,13.44836502,102.8377816,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Kouk Ballangk,?????????,???????????,???????????,102,10204,1020401,?????????????????,1,13.46948253,103.0813439,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Ta An,?????????,???????????,????,102,10204,1020402,?????????????????,1,13.47090182,103.0896901,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Pralay Chrey,?????????,???????????,??????????,102,10204,1020403,?????????????????,1,13.47118699,103.0939174,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Cheung Chab,?????????,???????????,??????,102,10204,1020404,?????????????????,1,13.47410637,103.0998969,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Phat Sandaong,?????????,???????????,??????????,102,10204,1020405,?????????????????,1,13.47316083,103.1051406,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Char Thmei,?????????,???????????,???????,102,10204,1020406,?????????????????,1,13.47408933,103.1180438,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Ph'av Thmei,?????????,???????????,?????????,102,10204,1020407,?????????????????,1,13.47846686,103.1281314,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,Ta Sal,?????????,???????????,?????,102,10204,1020408,?????????????????,1,13.48249842,103.1587619,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Koy Maeng,?????????,??????,??????,102,10205,1020501,?????????????????,1,13.55323441,103.0952145,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Sdei Leu,?????????,??????,??????,102,10205,1020502,?????????????????,1,13.5478968,103.0803566,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Phlov Siem,?????????,??????,????????,102,10205,1020503,?????????????????,1,13.55121552,103.0900297,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Ta Nong,?????????,??????,????,102,10205,1020504,?????????????????,1,13.55513567,103.0932779,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Angkar Khmau,?????????,??????,?????????,102,10205,1020505,?????????????????,1,13.5560509,103.1090493,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Kasang Thmei,?????????,??????,????????,102,10205,1020506,?????????????????,1,13.55970081,103.1136396,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Stueng Chas,?????????,??????,?????????,102,10205,1020507,?????????????????,1,13.55418034,103.1007498,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Koy Maeng,Sdei Kraom,?????????,??????,?????????,102,10205,1020508,?????????????????,1,13.54972481,103.0853765,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Phnum Thum Tboung,?????????,??????????,???????????,102,10206,1020601,?????????????????,1,13.43254664,103.0151318,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Phnum Prasat,?????????,??????????,???????????,102,10206,1020602,?????????????????,1,13.44484605,103.0150306,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Phnum Thum Cheung,?????????,??????????,?????????,102,10206,1020603,?????????????????,1,13.44541947,103.0132531,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Chamkar Louk,?????????,??????????,????????,102,10206,1020604,?????????????????,1,13.44679014,103.006012,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Phnum Thum Thmei,?????????,??????????,??????????,102,10206,1020605,?????????????????,1,13.45146486,103.016592,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Anlong Sdei,?????????,??????????,??????????,102,10206,1020606,?????????????????,1,13.44964521,103.023089,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Kouk Thlong Kaeut,?????????,??????????,???????????,102,10206,1020607,?????????????????,1,13.4479318,103.0351067,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Kouk Thlong Kandal,?????????,??????????,??????????????,102,10206,1020608,?????????????????,1,13.44879219,103.0295595,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Ou Snguot,?????????,??????????,????????,102,10206,1020609,?????????????????,1,13.46581722,103.0109518,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Ou Prasat,?????????,??????????,??????????,102,10206,1020610,?????????????????,1,13.46843301,102.9989256,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Kouk Ampil,?????????,??????????,????????,102,10206,1020611,?????????????????,1,13.47451183,103.0053115,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Ra Chamkar Chek,?????????,??????????,???????????,102,10206,1020612,?????????????????,1,13.45697974,103.0099721,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Pou Rieng,?????????,??????????,????????,102,10206,1020613,?????????????????,1,13.48120815,103.0086636,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ou Prasat,Rung Krabau,?????????,??????????,????????,102,10206,1020614,?????????????????,1,13.48924736,103.0024464,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Phnum Touch Tboung,?????????,???????,????????????,102,10207,1020701,?????????????????,1,13.40533451,103.019759,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Phnum Touch Cheung,?????????,???????,??????????,102,10207,1020702,?????????????????,1,13.41074952,103.0187914,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Thnal Bat,?????????,???????,????????,102,10207,1020703,?????????????????,1,13.42609802,103.016819,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Ou Nhor,?????????,???????,?????,102,10207,1020704,?????????????????,1,13.39720837,103.0207487,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Boeng Tras,?????????,???????,????????,102,10207,1020705,?????????????????,1,13.43230723,103.0019954,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Monourom,?????????,???????,???????,102,10207,1020706,?????????????????,1,13.41246239,103.0067756,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Paoy Ta Sek,?????????,???????,?????????,102,10207,1020707,?????????????????,1,13.39754369,103.0382399,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Prey Totueng,?????????,???????,????????,102,10207,1020708,?????????????????,1,13.42473185,103.0327751,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Boeng Reang,?????????,???????,???????,102,10207,1020709,?????????????????,1,13.4070766,103.0114359,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Phnum Touch,Voat Thmei,?????????,???????,????????,102,10207,1020710,?????????????????,1,13.41886837,103.0168784,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Pou Pir Daeum,?????????,????????,???????????,102,10208,1020801,?????????????????,1,13.49543285,102.984848,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Rohat Tuek,?????????,????????,????????,102,10208,1020802,?????????????????,1,13.48639602,102.9849238,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Thnal Bat,?????????,????????,????????,102,10208,1020803,?????????????????,1,13.48187145,102.9853219,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Kramol,?????????,????????,??????,102,10208,1020804,?????????????????,1,13.48089963,102.9757353,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Khtum Chrum,?????????,????????,??????????,102,10208,1020805,?????????????????,1,13.47109854,102.9807858,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Chak Lech,?????????,????????,?????,102,10208,1020806,?????????????????,1,13.47173588,102.9601142,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Doun Mul,?????????,????????,??????,102,10208,1020807,?????????????????,1,13.46609818,102.9681217,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Preaek Samraong,?????????,????????,??????????,102,10208,1020808,?????????????????,1,13.46271414,102.9620374,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Ou Dangkao,?????????,????????,????????,102,10208,1020809,?????????????????,1,13.45655962,102.9833269,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Chamkar Chek,?????????,????????,????????,102,10208,1020810,?????????????????,1,13.45470777,102.9778022,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Ou Chuob,?????????,????????,??????,102,10208,1020811,?????????????????,1,13.448382,102.9778553,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Ka Svay,?????????,????????,??????,102,10208,1020812,?????????????????,1,13.43456021,102.9886998,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Rohat Tuek,Chak Kaeut,?????????,????????,?????,102,10208,1020813,?????????????????,1,13.47265745,102.9667735,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Anhchanh,?????????,??????????,??????,102,10209,1020901,?????????????????,1,13.54084603,103.0405817,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Neang Ket,?????????,??????????,??????,102,10209,1020902,?????????????????,1,13.54439464,103.0047582,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Praek Ropov,?????????,??????????,????????,102,10209,1020903,?????????????????,1,13.54977247,102.9991709,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Sala Daeng,?????????,??????????,???????,102,10209,1020904,?????????????????,1,13.54801678,103.0056517,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Samraong,?????????,??????????,?????,102,10209,1020905,?????????????????,1,13.54457788,103.0278498,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Anlong Mean Troap,?????????,??????????,???????????????,102,10209,1020906,?????????????????,1,13.54097337,103.0545752,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Chamkar Ta Daok,?????????,??????????,??????????,102,10209,1020907,?????????????????,1,13.53064342,103.0188941,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Pralay Luong Kraom,?????????,??????????,??????????????????,102,10209,1020908,?????????????????,1,13.53925007,103.039902,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Luong,?????????,??????????,?????,102,10209,1020909,?????????????????,1,13.53737736,103.0316039,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Ou Ta Kol,?????????,??????????,????????,102,10209,1020910,?????????????????,1,13.54177583,103.0520099,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Pralay Luong Leu,?????????,??????????,???????????????,102,10209,1020911,?????????????????,1,13.53766544,103.0349085,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Kouk Svay,?????????,??????????,????????,102,10209,1020912,?????????????????,1,13.5400229,103.0232688,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Ou Ta Ma,?????????,??????????,????????,102,10209,1020913,?????????????????,1,13.54806429,103.0715886,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Kaoh Kaev,?????????,??????????,??????,102,10209,1020914,?????????????????,1,13.54452679,103.0213841,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Phasi Sra,?????????,??????????,?????????,102,10209,1020915,?????????????????,1,13.54141576,103.0314229,13.54167,103.025
